Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,Intercept,Slope,Theta_Vector,Parameters_List,R_Squared,Data_Points,X_Min,X_Max,Y_Min,Y_Max
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,EliteNet Network Line,y = -10.2679 + 0.41743*x,-10.267874110635944,0.41743003701896847,[0.41743003701896847],"[-10.267874110635944, 0.41743003701896847]",0.9961836867666821,8,58.66,2112.01,17.04922,860.41991
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,Jet Seg Network Line,y = 642.231 + 1.70413*x,642.2305758806813,1.7041321580190538,[1.7041321580190538],"[642.2305758806813, 1.7041321580190538]",0.8662474821335713,8,40.72,1465.85,133.01,2896.39
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,SegFormer-BO Network Line,y = -1105.97 + 5.49912*x,-1105.9662139889488,5.4991223143172,[5.4991223143172],"[-1105.9662139889488, 5.4991223143172]",0.9060742219646126,7,93.79,1498.54,131.27,8284.65
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,UNet w/o Skip Connection Network Line,y = -1641.58 + 1.12556*x,-1641.5847181195472,1.1255572391703739,[1.1255572391703739],"[-1641.5847181195472, 1.1255572391703739]",0.9542575780512655,7,660.06,10560.94,282.61129,10898.47264
Small_Act_Size_vs_Latency_linear,Small,Act_Size,Latency,linear,UNext w/o skip Network Line,y = -7461.59 + 2.95699*x,-7461.589908518652,2.9569893816540027,[2.9569893816540027],"[-7461.589908518652, 2.9569893816540027]",0.9319603242808502,8,536.24,19278.11,338.55,54342.05
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Global Trendline,y = 1.37551 + 0.65391*x,1.3755054026937048,0.6539103848252797,[0.6539103848252797],"[1.3755054026937048, 0.6539103848252797]",0.39275594101457645,71,1.4658288153574364,4.285064454006368,1.2317045148566896,4.73513601771998
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Compression Engine Network Line,y = 0.0136698 + 1.03638*x,0.013669816262495083,1.036383971209516,[1.036383971209516],"[0.013669816262495083, 1.036383971209516]",0.9915594225286336,8,2.4012454079054875,3.955185351928537,2.4706211770706648,4.1255755383600965
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ENet Network Line,y = 1.0059 + 0.936747*x,1.0058967047819896,0.9367468002754807,[0.9367468002754807],"[1.0058967047819896, 0.9367468002754807]",0.9988330075880735,8,1.4658288153574364,3.0222386094475437,2.3890774437923494,3.8398669156050835
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ERFNet Network Line,y = 0.438653 + 1.10867*x,0.43865267893946314,1.1086666222225339,[1.1086666222225339],"[0.43865267893946314, 1.1086666222225339]",0.9939849062389519,8,1.795184589682424,3.351502556502023,2.4758744893194367,4.197703341308572
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,ESPNet Network Line,y = 1.45581 + 0.95471*x,1.4558068785818303,0.954709679119477,[0.954709679119477],"[1.4558068785818303, 0.954709679119477]",0.9952085171513139,8,1.6397852129868202,3.1960821837002844,3.014856420044506,4.516182771408289
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,EliteNet Network Line,y = -0.714874 + 1.10906*x,-0.714874364732407,1.1090631279756122,[1.1090631279756122],"[-0.714874364732407, 1.1090631279756122]",0.9963089449439144,8,1.7683420586445333,3.324695970175476,1.2317045148566896,2.9347104513470974
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,Jet Seg Network Line,y = 0.977955 + 0.836664*x,0.9779545520303574,0.8366642021349376,[0.8366642021349376],"[0.9779545520303574, 0.8366642021349376]",0.9059316071675143,8,1.6098077693287023,3.166089531351996,2.1238842934600077,3.461857039377401
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,SegFormer-BO Network Line,y = -0.624262 + 1.40819*x,-0.6242621972243145,1.4081943976318594,[1.4081943976318594],"[-0.6242621972243145, 1.4081943976318594]",0.9804004387173638,7,1.9721565358594937,3.1756683399059042,2.1181654852431238,3.918274165588253
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,UNet w/o Skip Connection Network Line,y = -1.38388 + 1.32828*x,-1.383880987297701,1.3282813407668759,[1.3282813407668759],"[-1.383880987297701, 1.3282813407668759]",0.9670851472715889,7,2.8195834150639087,4.0237025752663955,2.451189507430307,4.037365638261882
Small_Act_Size_vs_Latency_log,Small,Act_Size,Latency,log,UNext w/o skip Network Line,y = -1.51281 + 1.40541*x,-1.5128142876110542,1.4054110701312668,[1.4054110701312668],"[-1.5128142876110542, 1.4054110701312668]",0.9559471243008915,8,2.72935920638567,4.285064454006368,2.5296228181334435,4.73513601771998
