Graph_ID,Category,X_Metric,Y_Metric,Scale,Line_Type,Equation,R_Squared,Data_Points
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,PSPNet Network Line,y = 171.08 + 4.47244*x,0.9980820212900855,8
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SUMNet w/o Skip Connection Network Line,y = -25253.9 + 5.38151*x,0.9270818375980636,7
Medium_Act_Size_vs_Latency_linear,Medium,Act_Size,Latency,linear,SegNet Network Line,y = -24818.2 + 50.2818*x,0.9151635121900281,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,Global Trendline,y = 1.11428 + 0.877802*x,0.7818736157541588,39
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,FCN_R50 Network Line,y = 1.07176 + 0.954416*x,0.9952095743588025,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,LinkNet Network Line,y = 0.510329 + 0.996898*x,0.9893105969219927,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,PSPNet Network Line,y = 0.888175 + 0.927983*x,0.997109463441359,8
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SUMNet w/o Skip Connection Network Line,y = -2.35679 + 1.67309*x,0.9757311366791039,7
Medium_Act_Size_vs_Latency_log,Medium,Act_Size,Latency,log,SegNet Network Line,y = -0.0969518 + 1.42504*x,0.9488212242446387,8
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,Global Trendline,y = 8.28119 + 6.15856*x,0.8969484037749247,9
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,HRNet-W48 + OCR Network Line,y = 560.302 + 6.35533*x,0.975763609102289,7
Large_FLOPs_vs_Latency_linear,Large,FLOPs,Latency,linear,SegFormer-B5 Network Line,y = 932.747 + 2.89102*x,1.0,2
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,Global Trendline,y = 1.13578 + 0.8925*x,0.9308117651089375,9
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,HRNet-W48 + OCR Network Line,y = 1.15924 + 0.898745*x,0.984262576721173,7
Large_FLOPs_vs_Latency_log,Large,FLOPs,Latency,log,SegFormer-B5 Network Line,y = 1.58455 + 0.683709*x,1.0,2
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,Global Trendline,y = -965.864 + 8.30681*x,0.8445405738173297,9
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,HRNet-W48 + OCR Network Line,y = -17.3169 + 8.7095*x,0.9999994870409358,7
Large_FLOPs_vs_Act_Size_linear,Large,FLOPs,Act_Size,linear,SegFormer-B5 Network Line,y = 1004.46 + 2.04271*x,1.0,2
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,Global Trendline,y = 0.915452 + 0.983096*x,0.8504616372468179,9
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,HRNet-W48 + OCR Network Line,y = 0.935183 + 1.00129*x,0.9999997000634954,7
Large_FLOPs_vs_Act_Size_log,Large,FLOPs,Act_Size,log,SegFormer-B5 Network Line,y = 1.75744 + 0.595653*x,1.0,2
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,Global Trendline,y = 1214.89 + 0.708526*x,0.9699914736073612,9
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,HRNet-W48 + OCR Network Line,y = 572.533 + 0.729723*x,0.9758237123955052,7
Large_Act_Size_vs_Latency_linear,Large,Act_Size,Latency,linear,SegFormer-B5 Network Line,y = -488.849 + 1.41529*x,1.0,2
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,Global Trendline,y = 0.517349 + 0.854589*x,0.969831951740716,9
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,HRNet-W48 + OCR Network Line,y = 0.319896 + 0.897569*x,0.9842283433406065,7
Large_Act_Size_vs_Latency_log,Large,Act_Size,Latency,log,SegFormer-B5 Network Line,y = -0.432702 + 1.14783*x,1.0,2
